,document_id,id,owner,asset,transactiontype,date,notif_date,amount,capgains,assettype,ticker
204,20024461,,jt,microsoft corporation - common stock (msft) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1,s,01/18/2024,,"$1,001 - $15,000",,st,msft
205,20024461,,jt,nitori holdings co u/adr (nclty) [st],s,01/11/2024,,"$1,001 - $15,000",,st,nclty
206,20024461,,jt,oceanfirst financial corp. - common stock (ocfc) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1,p,01/11/2024,,"$1,001 - $15,000",,st,ocfc
207,20024461,,jt,on semiconductor corporation - common stock (on) [st],p,01/11/2024,,"$1,001 - $15,000",,st,on
208,20024461,,jt,on semiconductor corporation - common stock (on) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1,s,01/25/2024,,"$1,001 - $15,000",,st,on
209,20024461,,jt,"patterson-uti energy, inc. - common stock (pten) [st]",p,01/11/2024,,"$1,001 - $15,000",,st,pten
210,20024461,,jt,"paycor hcm, inc. - common stock (pycr) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1",p,01/11/2024,,"$1,001 - $15,000",,st,pycr
211,20024461,,jt,ping an ins co of china (pngay) [st],p,01/11/2024,,"$1,001 - $15,000",,st,pngay
212,20024461,,jt,"servicenow, inc. common stock (now) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1",p,01/25/2024,,"$1,001 - $15,000",,st,now
213,20024461,,jt,shiseido co ltd ord american depositary shares (ssdoy) [st],p,01/11/2024,,"$1,001 - $15,000",,st,ssdoy
214,20024461,,jt,"shoals technologies group, inc. - class a common stock (shls) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1",p,01/11/2024,,"$1,001 - $15,000",,st,shls
215,20024461,,jt,"spx technologies, inc. common stock (spxc) [st]",s,01/04/2024,,"$1,001 - $15,000",,st,spxc
216,20024461,,jt,taiwan semiconductor manufacturing company ltd. (tsm) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1,p,01/18/2024,,"$1,001 - $15,000",,st,tsm
217,20024461,,jt,"tesla, inc. - common stock (tsla) [st]",s,01/25/2024,,"$1,001 - $15,000",,st,tsla
218,20024461,,jt,"tri pointe homes, inc. common stock (tph) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1",p,01/24/2024,,"$1,001 - $15,000",,st,tph
219,20024677,,,ngl energy partners lp common units representing limited partner interests (ngl) [st] f_____ s_____: new s_________ o_: equitable retirement account,s,03/11/2024,,"$15,001 - $50,000",,st,ngl
